-----------------------------------------------------------
collectivecognition-v1.1-mistral-7b.Q8_0.gguf
-----------------------------------------------------------
Reference                       Total           Distinct        Percent
poem-nature/default/1324932     196             135             0.69
poem-love/default/1324932       1009            347             0.34
poem-dreams/default/1324932     121             81              0.67
poem-social/default/1324932     210             131             0.62
poem-identity/default/1324932   278             166             0.60
poem-adventure/default/1324932  185             116             0.63
poem-memories/default/1324932   665             254             0.38
poem-art/default/1324932        194             123             0.63
poem-freedom/default/1324932    428             128             0.30
poem-technology/default/1324932 359             220             0.61
poem-nature/default/39292       280             164             0.59
poem-love/default/39292         297             159             0.54
poem-dreams/default/39292       644             244             0.38
poem-social/default/39292       262             167             0.64
poem-identity/default/39292     305             186             0.61
poem-adventure/default/39292    352             188             0.53
poem-memories/default/39292     192             115             0.60
poem-art/default/39292          153             100             0.65
poem-freedom/default/39292      209             103             0.49
poem-technology/default/39292   230             143             0.62
poem-nature/default/190192      359             198             0.55
poem-love/default/190192        262             162             0.62
poem-dreams/default/190192      237             145             0.61
poem-social/default/190192      291             149             0.51
poem-identity/default/190192    266             155             0.58
poem-adventure/default/190192   1087            284             0.26
poem-memories/default/190192    323             168             0.52
poem-art/default/190192         174             96              0.55
poem-freedom/default/190192     175             109             0.62
poem-technology/default/190192  210             138             0.66
poem-nature/default/12912       337             179             0.53
poem-love/default/12912         350             219             0.63
poem-dreams/default/12912       158             108             0.68
poem-social/default/12912       735             316             0.43
poem-identity/default/12912     187             114             0.61
poem-adventure/default/12912    635             301             0.47
poem-memories/default/12912     176             112             0.64
poem-art/default/12912          118             86              0.73
poem-freedom/default/12912      284             140             0.49
poem-technology/default/12912   211             140             0.66
poem-nature/default/1337        403             240             0.60
poem-love/default/1337          180             119             0.66
poem-dreams/default/1337        171             103             0.60
poem-social/default/1337        293             194             0.66
poem-identity/default/1337      217             132             0.61
poem-adventure/default/1337     182             118             0.65
poem-memories/default/1337      545             230             0.42
poem-art/default/1337           211             121             0.57
poem-freedom/default/1337       174             109             0.63
poem-technology/default/1337    388             206             0.53
-----------------------------------------------------------
mean:0.568      range:0.468     sd:0.102
-----------------------------------------------------------

-----------------------------------------------------------
dolphin-2.1-mistral-7b.Q8_0.gguf
-----------------------------------------------------------
Reference                       Total           Distinct        Percent
poem-nature/default/1324932     300             190             0.63
poem-love/default/1324932       336             194             0.58
poem-dreams/default/1324932     253             153             0.60
poem-social/default/1324932     467             260             0.56
poem-identity/default/1324932   390             227             0.58
poem-adventure/default/1324932  490             307             0.63
poem-memories/default/1324932   413             260             0.63
poem-art/default/1324932        357             225             0.63
poem-freedom/default/1324932    362             212             0.59
poem-technology/default/1324932 330             214             0.65
poem-nature/default/39292       292             187             0.64
poem-love/default/39292         381             237             0.62
poem-dreams/default/39292       242             148             0.61
poem-social/default/39292       300             188             0.63
poem-identity/default/39292     315             194             0.62
poem-adventure/default/39292    218             147             0.67
poem-memories/default/39292     369             218             0.59
poem-art/default/39292          213             136             0.64
poem-freedom/default/39292      441             250             0.57
poem-technology/default/39292   404             245             0.61
poem-nature/default/190192      358             218             0.61
poem-love/default/190192        436             227             0.52
poem-dreams/default/190192      433             243             0.56
poem-social/default/190192      348             207             0.59
poem-identity/default/190192    368             202             0.55
poem-adventure/default/190192   380             225             0.59
poem-memories/default/190192    368             219             0.60
poem-art/default/190192         393             242             0.62
poem-freedom/default/190192     309             197             0.64
poem-technology/default/190192  459             279             0.61
poem-nature/default/12912       425             248             0.58
poem-love/default/12912         568             287             0.51
poem-dreams/default/12912       250             161             0.64
poem-social/default/12912       274             173             0.63
poem-identity/default/12912     389             228             0.59
poem-adventure/default/12912    359             237             0.66
poem-memories/default/12912     483             275             0.57
poem-art/default/12912          263             158             0.60
poem-freedom/default/12912      437             252             0.58
poem-technology/default/12912   279             187             0.67
poem-nature/default/1337        285             183             0.64
poem-love/default/1337          347             215             0.62
poem-dreams/default/1337        292             195             0.67
poem-social/default/1337        350             234             0.67
poem-identity/default/1337      357             204             0.57
poem-adventure/default/1337     374             221             0.59
poem-memories/default/1337      301             202             0.67
poem-art/default/1337           304             174             0.57
poem-freedom/default/1337       410             209             0.51
poem-technology/default/1337    330             200             0.61
-----------------------------------------------------------
mean:0.606      range:0.169     sd:0.040
-----------------------------------------------------------

-----------------------------------------------------------
dolphin-2.2.1-mistral-7b.Q8_0.gguf
-----------------------------------------------------------
Reference                       Total           Distinct        Percent
poem-nature/default/1324932     206             127             0.62
poem-love/default/1324932       351             198             0.56
poem-dreams/default/1324932     236             155             0.66
poem-social/default/1324932     331             190             0.57
poem-identity/default/1324932   228             139             0.61
poem-adventure/default/1324932  358             231             0.65
poem-memories/default/1324932   367             217             0.59
poem-art/default/1324932        364             209             0.57
poem-freedom/default/1324932    237             142             0.60
poem-technology/default/1324932 412             235             0.57
poem-nature/default/39292       247             170             0.69
poem-love/default/39292         327             190             0.58
poem-dreams/default/39292       244             139             0.57
poem-social/default/39292       299             188             0.63
poem-identity/default/39292     335             183             0.55
poem-adventure/default/39292    278             164             0.59
poem-memories/default/39292     349             209             0.60
poem-art/default/39292          305             177             0.58
poem-freedom/default/39292      265             172             0.65
poem-technology/default/39292   345             199             0.58
poem-nature/default/190192      250             162             0.65
poem-love/default/190192        331             194             0.59
poem-dreams/default/190192      395             231             0.58
poem-social/default/190192      338             189             0.56
poem-identity/default/190192    245             141             0.58
poem-adventure/default/190192   224             142             0.63
poem-memories/default/190192    216             147             0.68
poem-art/default/190192         283             167             0.59
poem-freedom/default/190192     284             173             0.61
poem-technology/default/190192  306             196             0.64
poem-nature/default/12912       240             170             0.71
poem-love/default/12912         309             193             0.62
poem-dreams/default/12912       248             149             0.60
poem-social/default/12912       288             170             0.59
poem-identity/default/12912     352             204             0.58
poem-adventure/default/12912    307             190             0.62
poem-memories/default/12912     394             222             0.56
poem-art/default/12912          318             186             0.58
poem-freedom/default/12912      604             319             0.53
poem-technology/default/12912   298             176             0.59
poem-nature/default/1337        271             179             0.66
poem-love/default/1337          357             220             0.62
poem-dreams/default/1337        415             208             0.50
poem-social/default/1337        386             230             0.60
poem-identity/default/1337      275             148             0.54
poem-adventure/default/1337     262             171             0.65
poem-memories/default/1337      400             240             0.60
poem-art/default/1337           326             177             0.54
poem-freedom/default/1337       219             133             0.61
poem-technology/default/1337    285             174             0.61
-----------------------------------------------------------
mean:0.601      range:0.207     sd:0.041
-----------------------------------------------------------

-----------------------------------------------------------
llama-2-13b-chat.Q5_K_M.gguf
-----------------------------------------------------------
Reference                       Total           Distinct        Percent
poem-nature/default/1324932     295             162             0.55
poem-love/default/1324932       335             167             0.50
poem-dreams/default/1324932     352             186             0.53
poem-social/default/1324932     296             168             0.57
poem-identity/default/1324932   437             215             0.49
poem-adventure/default/1324932  292             158             0.54
poem-memories/default/1324932   308             163             0.53
poem-art/default/1324932        350             165             0.47
poem-freedom/default/1324932    296             175             0.59
poem-technology/default/1324932 337             180             0.53
poem-nature/default/39292       297             167             0.56
poem-love/default/39292         297             152             0.51
poem-dreams/default/39292       238             131             0.55
poem-social/default/39292       224             147             0.66
poem-identity/default/39292     307             154             0.50
poem-adventure/default/39292    239             138             0.58
poem-memories/default/39292     238             133             0.56
poem-art/default/39292          318             172             0.54
poem-freedom/default/39292      377             184             0.49
poem-technology/default/39292   251             150             0.60
poem-nature/default/190192      240             138             0.57
poem-love/default/190192        303             149             0.49
poem-dreams/default/190192      320             159             0.50
poem-social/default/190192      316             175             0.55
poem-identity/default/190192    260             143             0.55
poem-adventure/default/190192   316             173             0.55
poem-memories/default/190192    382             188             0.49
poem-art/default/190192         237             123             0.52
poem-freedom/default/190192     298             160             0.54
poem-technology/default/190192  261             148             0.57
poem-nature/default/12912       265             168             0.63
poem-love/default/12912         236             114             0.48
poem-dreams/default/12912       258             135             0.52
poem-social/default/12912       307             164             0.53
poem-identity/default/12912     374             170             0.45
poem-adventure/default/12912    362             172             0.48
poem-memories/default/12912     253             147             0.58
poem-art/default/12912          329             146             0.44
poem-freedom/default/12912      233             124             0.53
poem-technology/default/12912   317             184             0.58
poem-nature/default/1337        274             159             0.58
poem-love/default/1337          286             137             0.48
poem-dreams/default/1337        312             151             0.48
poem-social/default/1337        186             125             0.67
poem-identity/default/1337      400             203             0.51
poem-adventure/default/1337     337             176             0.52
poem-memories/default/1337      354             153             0.43
poem-art/default/1337           271             134             0.49
poem-freedom/default/1337       268             148             0.55
poem-technology/default/1337    358             175             0.49
-----------------------------------------------------------
